author name,book name,percent that written by author
Shakespeare,A Yorkshire Tragedy,86.8%
Shakespeare,Fair Em,77.6%
Shakespeare,King Edward III,82.2%
Shakespeare,Locrine; Mucedorus,70.8%
Shakespeare,Sir John Oldcastle,94.4%
Shakespeare,Sir Thomas More,88.9%
Shakespeare,The Life and Death of the Lord Cromwell,93.1%
Shakespeare,The Merry Devill of Edmonton,92.5%
Shakespeare,The Puritaine Widdow,83.3%
Shakespeare,The Two Noble Kinsmen,76.9%
---author name,book name,percent that written by author
Shakespeare,A Yorkshire Tragedy,63.2%
Shakespeare,Fair Em,71.6%
Shakespeare,hamlet_TXT_FolgerShakespeare,99.2%
Shakespeare,King Edward III,88.1%
Shakespeare,king-john_TXT_FolgerShakespeare,98.9%
Shakespeare,Locrine; Mucedorus,80.6%
Shakespeare,lucrece_TXT_FolgerShakespeare,92.5%
Shakespeare,Sir John Oldcastle,88.9%
Shakespeare,Sir Thomas More,89.9%
Shakespeare,The Life and Death of the Lord Cromwell,84.7%
Shakespeare,The Merry Devill of Edmonton,79.1%
Shakespeare,The Puritaine Widdow,77.1%
Shakespeare,The Two Noble Kinsmen,43.6%
Shakespeare,the-merry-wives-of-windsor_TXT_FolgerShakespeare,97.1%
Shakespeare,the-two-noble-kinsmen_TXT_FolgerShakespeare,99.1%
