author name,book name,percent that written by author
Shakespeare,A Yorkshire Tragedy,63.2%
Shakespeare,Fair Em,71.6%
Shakespeare,hamlet_TXT_FolgerShakespeare,99.2%
Shakespeare,King Edward III,88.1%
Shakespeare,king-john_TXT_FolgerShakespeare,98.9%
Shakespeare,Locrine; Mucedorus,80.6%
Shakespeare,lucrece_TXT_FolgerShakespeare,92.5%
Shakespeare,Sir John Oldcastle,88.9%
Shakespeare,Sir Thomas More,89.9%
Shakespeare,The Life and Death of the Lord Cromwell,84.7%
Shakespeare,The Merry Devill of Edmonton,79.1%
Shakespeare,The Puritaine Widdow,77.1%
Shakespeare,The Two Noble Kinsmen,43.6%
Shakespeare,the-merry-wives-of-windsor_TXT_FolgerShakespeare,97.1%
Shakespeare,the-two-noble-kinsmen_TXT_FolgerShakespeare,99.1%
Shakespeare,The Exemplary Novels of Cervantes by Miguel de Cervantes Saavedra,2.3%
Shakespeare,Hero and Leander,42.5%
Shakespeare,Massacre at Paris,50.0%
Shakespeare,Sejanus His Fall,18.3%
Shakespeare,Tamburlaine the Great,59.8%
Shakespeare,The Countess of Escarbagnas,2.8%
Shakespeare,The Devil is an Ass,5.1%
Shakespeare,The Fountain of Self-Love,22.8%
Shakespeare,The Imaginary Invalid,1.1%
Shakespeare,The Middle-Class Gentlema,15.9%
Shakespeare,The Miser,0.0%
Shakespeare,The Poetaster,38.5%
Shakespeare,The Pretentious Young Ladies,0.0%
Shakespeare,The Silent Woman,36.1%
Isaac Asimov,An essay,0.0%
Isaac Asimov,richard-iii_TXT_FolgerShakespeare,0.0%
Isaac Asimov,romeo-and-juliet_TXT_FolgerShakespeare,0.0%
Isaac Asimov,The Genetic Effects of Radiation,81.3%
Isaac Asimov,Worlds Within Worlds,79.4%
Isaac Asimov,Youth,75.5%
